State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Alirajpur,Alirajpur APMC,Wheat,Wheat,FAQ,01-01-2026,2400,2400,2400,1
Madhya Pradesh,Ratlam,Sailana APMC,Wheat,Wheat,FAQ,01-01-2026,2340,3201,3201,1
Madhya Pradesh,Gwalior,Dabra APMC,Wheat,Wheat,FAQ,01-01-2026,2450,2500,2500,1
Madhya Pradesh,Damoh,Patharia APMC,Wheat,Wheat,FAQ,01-01-2026,2500,2500,2500,1
Madhya Pradesh,Khandwa,Pandhana APMC,Wheat,Wheat,FAQ,01-01-2026,2550,2550,2550,1
Madhya Pradesh,Bhopal,Berasia APMC,Wheat,Wheat,FAQ,01-01-2026,2400,2750,2580,1
Madhya Pradesh,Mandsaur,Daloda APMC,Wheat,Wheat,FAQ,01-01-2026,2200,2885,2800,1
Madhya Pradesh,Vidisha,Ganjbasoda APMC,Wheat,Wheat,FAQ,01-01-2026,2449,2449,2449,1
Madhya Pradesh,Datia,Sevda APMC,Wheat,Wheat,Non-FAQ,01-01-2026,2485,2550,2500,1
Madhya Pradesh,Raisen,Obedullaganj APMC,Wheat,Wheat,FAQ,01-01-2026,2350,2350,2350,1
Madhya Pradesh,Ujjain,Nagda APMC,Wheat,Wheat,FAQ,01-01-2026,2621,2636,2636,1
Madhya Pradesh,Ujjain,Mahidpur APMC,Wheat,Wheat,FAQ,01-01-2026,2460,2680,2680,1
Madhya Pradesh,Burhanpur,Burhanpur APMC,Wheat,Wheat,Non-FAQ,01-01-2026,2330,2330,2330,1
Madhya Pradesh,Khargone,Kasrawad APMC,Wheat,Wheat,FAQ,01-01-2026,2480,2705,2680,1
Madhya Pradesh,Dhar,Rajgarh APMC,Wheat,Wheat,FAQ,01-01-2026,2400,2802,2681,1
Madhya Pradesh,Katni,Katni APMC,Wheat,Wheat,Non-FAQ,01-01-2026,2500,2600,2580,1
Madhya Pradesh,Jabalpur,Jabalpur APMC,Wheat,Wheat,Non-FAQ,01-01-2026,2200,2200,2200,1
Punjab,Bhatinda,Bhagta Bhai Ka APMC,Cabbage,Other,Medium,01-01-2026,1200,1200,1200,154
Kerala,Alappuzha,Kayamkulam APMC,Cabbage,Other,FAQ,01-01-2026,1200,1400,1300,154
Himachal Pradesh,Kullu,PMY Kullu,Cabbage,Other,FAQ,01-01-2026,800,1200,1000,154
Haryana,Sonipat,Sonepat APMC,Cabbage,Other,FAQ,01-01-2026,600,800,800,154
West Bengal,Kolkata,Sealdah Koley Market APMC,Cabbage,Other,FAQ,01-01-2026,1500,2000,2000,154
Punjab,Gurdaspur,Gurdaspur APMC,Cabbage,Other,Grade B,01-01-2026,1500,1500,1500,154
Haryana,Hissar,Hansi APMC,Cabbage,Other,FAQ,01-01-2026,800,800,800,154
Himachal Pradesh,Sirmore,PMY Paonta Sahib,Cabbage,Other,FAQ,01-01-2026,1000,1500,1200,154
Himachal Pradesh,Solan,SMY Nalagarh,Cabbage,Other,Medium,01-01-2026,500,700,600,154
Haryana,Panchkula,Raipur Rai APMC,Cabbage,Other,Local,01-01-2026,1000,1200,1000,154
Haryana,Fatehabad,Jakhal APMC,Cabbage,Other,Local,01-01-2026,1000,1000,1000,154
Kerala,Malappuram,Parappanangadi APMC,Cabbage,Other,FAQ,01-01-2026,2000,2100,2100,154
Punjab,Bhatinda,Talwandi Sabo APMC,Cabbage,Other,Grade A,01-01-2026,500,1000,800,154
Rajasthan,Ajmer,Ajmer(F&V) APMC,Cabbage,Other,Medium,01-01-2026,600,1200,1000,154
Telangana,Hyderabad,Bowenpally APMC,Cabbage,Other,FAQ,01-01-2026,400,1000,900,154
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura) APMC,Cabbage,Other,FAQ,01-01-2026,1150,1150,1150,154
West Bengal,Nadia,Kalyani APMC,Cabbage,Other,Medium,01-01-2026,1300,1500,1400,154
Maharashtra,Ratnagiri,Ratnagiri (Nachane) APMC,Cabbage,Other,Local,01-01-2026,1300,1500,1400,154
Maharashtra,Pune,Khed APMC,Cabbage,Other,Local,01-01-2026,800,1200,1000,154
Maharashtra,Thane,Kalyan APMC,Cabbage,Other,Local,01-01-2026,1000,1500,1250,154
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Suvarna Gadde,Suvarnagadde,Local,01-01-2026,3900,4100,4000,178
Madhya Pradesh,Satna,Satna APMC,Ajwan,Ajwan,FAQ,01-01-2026,6700,6700,6700,137
Gujarat,Patan,Radhanpur APMC,Ajwan,Other,Local,01-01-2026,6670,13250,10000,137
Rajasthan,Pratapgarh,Pratapgarh APMC,Ajwan,Other,FAQ,01-01-2026,12350,16597,14000,137
Tamil Nadu,Namakkal,Namakkal(Uzhavar Sandhai ) APMC,Betal Leaves,Mysore,Local,01-01-2026,10000,11000,10500,143
Tamil Nadu,Thiruchirappalli,Musiri(Uzhavar Sandhai ) APMC,Betal Leaves,Mysore,Local,01-01-2026,7000,8000,7500,143
Tamil Nadu,Thiruchirappalli,Thuraiyur APMC,Betal Leaves,Mysore,Local,01-01-2026,6000,7000,6500,143
Tamil Nadu,Thirupathur,Vaniyampadi(Uzhavar Sandhai ) APMC,Betal Leaves,Mysore,Local,01-01-2026,5000,5000,5000,143
Kerala,Ernakulam,Angamaly APMC,Elephant Yam(Suran)/Amorphophallus,Amorphophallus,FAQ,01-01-2026,3800,6000,4500,296
Kerala,Kozhikode(Calicut),Kallachi APMC,Elephant Yam(Suran)/Amorphophallus,Amorphophallus,FAQ,01-01-2026,4000,4400,4200,296
Kerala,Kollam,Kollam APMC,Elephant Yam(Suran)/Amorphophallus,Amorphophallus,Local,01-01-2026,4500,5000,4700,296
Gujarat,Navsari,Navsari APMC,Pegeon Pea(Arhar Fali),Pigeon Pea (Arhar Fali),Local,01-01-2026,3500,5000,4250,301
Tamil Nadu,The Nilgiris,Coonoor(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,3800,4000,3900,296
Tamil Nadu,Tuticorin,Tuticorin(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4500,5000,4750,296
Tamil Nadu,Thiruchirappalli,Lalgudi(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,3600,3600,3600,296
Tamil Nadu,Ramanathapuram,Ramanathapuram(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,7000,7500,7250,296
Tamil Nadu,Sivaganga,Devakottai (Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4200,4800,4500,296
Tamil Nadu,Namakkal,Paramathivelur(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4500,5000,4750,296
Tamil Nadu,Erode,Perundurai(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,3600,3800,3700,296
Tamil Nadu,Virudhunagar,Sivakasi(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4500,5000,4750,296
Tamil Nadu,Thanjavur,Kumbakonam (Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4800,4800,4800,296
Tamil Nadu,Salem,Sooramangalam(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4000,4500,4250,296
Tamil Nadu,Kallakuruchi,Kallakurichi(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4000,4000,4000,296
Tamil Nadu,Virudhunagar,Aruppukottai(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,5500,6000,5750,296
Tamil Nadu,Salem,Hasthampatti(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4500,4500,4500,296
Tamil Nadu,Thanjavur,Thanjavur(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,4000,4000,4000,296
Tamil Nadu,Erode,Gobichettipalayam(Uzhavar Sandhai ) APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Local,01-01-2026,3500,4000,3750,296
